# Simulation 8 (Up to date)
# 618 data points written for 4 variables.
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
15.2184,1023.7343,10.9046,6.2756
15.3777,1021.9336,11.8329,5.7018
15.5531,1019.7837,12.7572,5.0838
15.7498,1017.1862,13.6847,4.4535
15.9743,1014.0128,14.5885,3.7486
16.2411,1010.0007,15.4959,3.0886
16.5649,1004.8491,16.3579,2.3326
16.9936,997.6752,17.2051,1.8821
17.4936,988.9729,17.8214,0.8717
17.9936,980.0578,18.1755,0.6171
18.4936,971.0264,18.3634,0.4263
18.9936,961.9403,18.4644,0.1615
19.4936,952.8291,18.4833,0.0846
19.9936,943.7072,18.4872,0.5931
20.4936,934.5848,18.5288,0.4922
20.9936,925.4658,18.5682,0.2173
21.4936,916.3488,18.587,0.177
21.9936,907.2335,18.5994,0.0875
22.4936,898.1209,18.5848,0.1299
22.9936,889.0119,18.5648,0.0943
23.4936,879.9066,18.5483,0.0589
23.9936,870.8052,18.546,0.0467
24.4936,861.7078,18.5339,0.0472
24.9936,852.6144,18.5302,0.417
25.4936,843.5262,18.5593,0.1772
25.9936,834.4428,18.535,0.3052
26.4936,825.3632,18.4964,0.0626
26.9936,816.2874,18.4845,0.0419
27.4936,807.215,18.4812,0.0848
27.9936,798.1464,18.4656,0.3742
28.4936,789.0825,18.42,0.2381
28.9936,780.0234,18.4344,0.0352
29.4936,770.9677,18.4312,0.1936
29.9936,761.9156,18.4414,0.2187
30.4936,752.8676,18.4126,0.0234
30.9936,743.8235,18.4076,0.3331
31.4936,734.7837,18.4292,0.312
31.9936,725.7486,18.4518,0.2452
32.4936,716.7175,18.4699,0.0885
32.9936,707.6898,18.473,0.0238
33.4936,698.6654,18.4641,0.3017
33.9936,689.6453,18.4871,0.3567
34.4936,680.6299,18.4393,0.4226
34.9936,671.6196,18.3862,0.1614
35.4936,662.6129,18.3654,0.0411
35.9936,653.609,18.3635,0.0354
36.4936,644.6082,18.3536,0.2511
36.9936,635.6114,18.3698,0.1146
37.4936,626.6186,18.3514,0.49
37.9936,617.6308,18.2912,0.0531
38.4936,608.6475,18.2822,0.1614
38.9936,599.6668,18.2608,0.2215
39.4936,590.6898,18.2334,0.0319
39.9936,581.7163,18.2296,0.106
40.4936,572.7463,18.2316,0.0679
40.9936,563.7801,18.2185,0.0396
41.4936,554.8175,18.2079,0.1305
41.9936,545.8587,18.2117,0.1206
42.4936,536.9039,18.215,0.0698
42.9936,527.9528,18.214,0.0437
43.4936,519.0054,18.2106,0.1081
43.9936,510.0618,18.1931,0.1295
44.4936,501.1221,18.1974,0.1095
44.9936,492.1862,18.2003,0.0145
45.4936,483.254,18.1932,0.2795
45.9936,474.326,18.2109,0.1322
46.4936,465.4021,18.191,0.0811
46.9936,456.4819,18.1916,0.0234
47.4936,447.5653,18.1861,0.3708
47.9936,438.6535,18.1395,0.2584
48.4936,429.7463,18.1567,0.1319
48.9936,420.8426,18.1377,0.3819
49.4936,411.9432,18.0919,0.1672
49.9936,403.0479,18.1013,0.379
50.4936,394.1565,18.1276,0.2677
50.9936,385.2694,18.1475,0.0163
51.4936,376.3854,18.1408,0.0449
51.9936,367.5045,18.1298,0.0707
52.4936,358.6271,18.1296,0.1545
52.9936,349.7536,18.1062,0.4023
53.4936,340.8849,18.0561,0.0106
53.9936,332.0205,18.0508,0.3637
54.4936,323.1598,18.0076,0.2257
54.9936,314.3032,18.0217,0.2118
55.4936,305.45,17.9955,0.0729
55.9936,296.6002,17.9828,0.0169
56.4936,287.7537,17.9752,0.0256
56.9936,278.9107,17.9699,0.0291
57.4936,270.0714,17.9648,0.2007
57.9936,261.2361,17.9746,0.2097
58.4936,252.405,17.9863,0.0282
58.9936,243.5775,17.9821,0.2628
59.4936,234.7539,17.9989,0.0923
59.9936,225.9341,18.0016,0.3175
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=59.995 seconds
59.9946,225.9165,18.0015,111.0751
60.0036,225.7622,17.0161,97.7705
60.0138,225.5971,16.0324,85.2547
60.0255,225.4196,15.0503,73.5169
60.0391,225.2272,14.0698,62.5576
